"සුත්‍ර නාමය",පිටක​ය,නිකා​ය,වග්ග​ය,"පෙළ පිටු අංක","PDF පෙළ පිටු අංක ","PDF පාළි​ අටුවාව","සිංහල අටුවාව","PDF සිංහල අටුවාව","PDF පාළි ටීකා","පාළි - සිංහල ටීකා"
"සාලෙය්‍යක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 663","""PDF"" SP_MN1 - 682","PA09_MN1 - 479","SA_MN2 - 345","""PDF"" SA_MN2 - 345","PT19_MN1 - 490","ST_MN1-II  - 432"
"වේරඤ්ජක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 673","""PDF"" SP_MN1 - 692","PA09_MN1 - 484","SA_MN2 - 352","""PDF"" SA_MN2 - 352","PT19_MN1 - 497","ST_MN1-II  - 450"
"මහාවේදල්ල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 685","""PDF"" SP_MN1 - 704","PA09_MN1 - 484","SA_MN2 - 353","""PDF"" SA_MN2 - 353","PT19_MN1 - 498","ST_MN1-II  - 452"
"චූළවේදල්ල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 703","""PDF"" SP_MN1 - 722","PA09_MN1 - 500","SA_MN2 - 375","""PDF"" SA_MN2 - 375","PT19_MN1 - 517","ST_MN1-II  - 494"
"චූළධම්මසමාදාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 719","""PDF"" SP_MN1 - 738","PA09_MN1 - 511","SA_MN2 - 392","""PDF"" SA_MN2 - 392","PT19_MN1 - 527","ST_MN1-II  - 518"
"මහාධම්මසමාදාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 729","""PDF"" SP_MN1 - 748","PA09_MN1 - 513","SA_MN2 - 395","""PDF"" SA_MN2 - 395","PT19_MN1 - 530","ST_MN1-II  - 524"
"විමංසක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 745","""PDF"" SP_MN1 - 764","PA09_MN1 - 516","SA_MN2 - 399","""PDF"" SA_MN2 - 399","PT19_MN1 - 532","ST_MN1-II  - 530"
"කෝසම්බිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 753","""PDF"" SP_MN1 - 772","PA09_MN1 - 524","SA_MN2 - 412","""PDF"" SA_MN2 - 412","PT19_MN1 - 537","ST_MN1-II  - 542"
"බ්‍රහ්මනිමන්තනික සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 765","""PDF"" SP_MN1 - 784","PA09_MN1 - 535","SA_MN2 - 427","""PDF"" SA_MN2 - 427","PT19_MN1 - 542","ST_MN1-II  - 554"
"මාරතජ්ජනිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 5.චූල යමක වර්‍ගය","SP_MN1 - 777","""PDF"" SP_MN1 - 796","PA09_MN1 - 543","SA_MN2 - 438","""PDF"" SA_MN2 - 438","PT19_MN1 - 549","ST_MN1-II  - 570"
"කන්‍දරක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 003","""PDF"" SP_MN2 - 018","PA10_MN2 - 001","SA_MN3 - 001","""PDF"" SA_MN3 - 001","PT20_MN2 - 001","ST_MN2 - 002"
"අට්ඨකනාගර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 021","""PDF"" SP_MN2  - 036","PA10_MN2 - 006","SA_MN3 - 009","""PDF"" SA_MN3 - 009","PT20_MN2 - 005","ST_MN2 - 012"
"සේඛ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 029","""PDF"" SP_MN2  - 044","PA10_MN2 - 009","SA_MN3 - 011","""PDF"" SA_MN3 - 011","PT20_MN2 - 007","ST_MN2 - 018"
"පෝතලිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 039","""PDF"" SP_MN2  - 054","PA10_MN2 - 019","SA_MN3 - 027","""PDF"" SA_MN3 - 027","PT20_MN2 - 015","ST_MN2 - 034"
"ජීවක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 055","""PDF"" SP_MN2  - 070","PA10_MN2 - 024","SA_MN3 - 033","""PDF"" SA_MN3 - 033","PT20_MN2 - 018","ST_MN2 - 042"
"උපාලි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 061","""PDF"" SP_MN2  - 076","PA10_MN2 - 028","SA_MN3 - 038","""PDF"" SA_MN3 - 038","PT20_MN2 - 021","ST_MN2 - 048"
"කුක්කුරවතිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 085","""PDF"" SP_MN2 - 100","PA10_MN2 - 054","SA_MN3 - 072","""PDF"" SA_MN3 - 072","PT20_MN2 - 033","ST_MN2 - 072"
"අභයරාජ කුමාර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 093","""PDF"" SP_MN2 - 108","PA10_MN2 - 058","SA_MN3 - 077","""PDF"" SA_MN3 - 077","PT20_MN2 - 037","ST_MN2 - 078"
"බහුවේදනීය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 101","""PDF"" SP_MN2 - 116","PA10_MN2 - 061","SA_MN3 - 081","""PDF"" SA_MN3 - 081","PT20_MN2 - 038","ST_MN2 - 082"
"අපණ්ණක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 1.ගහපති වර්‍ගය","SP_MN2 - 109","""PDF"" SP_MN2 - 124","PA10_MN2 - 062","SA_MN3 - 082","""PDF"" SA_MN3 - 082","PT20_MN2 - 040","ST_MN2 - 084"
"අම්බලට්ඨිකරාහුලෝවාද සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 131","""PDF"" SP_MN2 - 146","PA10_MN2 - 067","SA_MN3 - 089","""PDF"" SA_MN3 - 089","PT20_MN2 - 045","ST_MN2 - 096"
"මහාරාහුලෝවාද සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 143","""PDF"" SP_MN2 - 158","PA10_MN2 - 069","SA_MN3 - 092","""PDF"" SA_MN3 - 092","PT20_MN2 - 047","ST_MN2 - 100"
"චූළමාලුඞ්ක්‍ය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 153","""PDF"" SP_MN2 - 168","PA10_MN2 - 076","SA_MN3 - 101","""PDF"" SA_MN3 - 101","PT20_MN2 - 050","ST_MN2 - 106"
"මහාමාලුඞ්ක්‍ය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 165","""PDF"" SP_MN2 - 180","PA10_MN2 - 077","SA_MN3 - 103","""PDF"" SA_MN3 - 103","PT20_MN2 - 051","ST_MN2 - 110"
"භද්දාලි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 175","""PDF"" SP_MN2 - 190","PA10_MN2 - 079","SA_MN3 - 106","""PDF"" SA_MN3 - 106","PT20_MN2 - 054","ST_MN2 - 118"
"ලටුකිකොපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 191","""PDF"" SP_MN2 - 206","PA10_MN2 - 087","SA_MN3 - 116","""PDF"" SA_MN3 - 116","PT20_MN2 - 057","ST_MN2 - 126"
"චාතුම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 207","""PDF"" SP_MN2 - 222","PA10_MN2 - 091","SA_MN3 - 121","""PDF"" SA_MN3 - 121","PT20_MN2 - 060","ST_MN2 - 132"
"නළකපාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 217","""PDF"" SP_MN2 - 232","PA10_MN2 - 094","SA_MN3 - 125","""PDF"" SA_MN3 - 125","PT20_MN2 - 062","ST_MN2 - 136"
"ගුලිස්සානි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 229","""PDF"" SP_MN2 - 244","PA10_MN2 - 097","SA_MN3 - 128","""PDF"" SA_MN3 - 128","PT20_MN2 - 063","ST_MN2 - 138"
"කීටාගිරි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 2.භික්ඛු වර්‍ගය","SP_MN2 - 237","""PDF"" SP_MN2 - 252","PA10_MN2 - 098","SA_MN3 - 130","""PDF"" SA_MN3 - 130","PT20_MN2 - 064","ST_MN2 - 140"
"තේවිජ්ජවච්ඡගොත්ත සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 253","""PDF"" SP_MN2 - 268","PA10_MN2 - 103","SA_MN3 - 136","""PDF"" SA_MN3 - 136","PT20_MN2 - 070","ST_MN2 - 152"
"අග්ගිවච්ඡගොත්ත සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 257","""PDF"" SP_MN2 - 272","PA10_MN2 - 104","SA_MN3 - 137","""PDF"" SA_MN3 - 137","PT20_MN2 - 071","ST_MN2 - 154"
"මහාවච්ඡගොත්ත සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 267","""PDF"" SP_MN2 - 282","PA10_MN2 - 205","SA_MN3 - 138","""PDF"" SA_MN3 - 138","PT20_MN2 - 073","ST_MN2 - 158"
"දීඝනඛ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 281","""PDF"" SP_MN2 - 296","PA10_MN2 - 107","SA_MN3 - 141","""PDF"" SA_MN3 - 141","PT20_MN2 - 075","ST_MN2 - 164"
"මාගන්‍දිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 289","""PDF"" SP_MN2 - 304","PA10_MN2 - 111","SA_MN3 - 146","""PDF"" SA_MN3 - 146","PT20_MN2 - 079","ST_MN2 - 174"
"සන්‍දක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 309","""PDF"" SP_MN2 - 324","PA10_MN2 - 117","SA_MN3 - 153","""PDF"" SA_MN3 - 153","PT20_MN2 - 083","ST_MN2 - 182"
"මහා සකුලුදායී සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 333","""PDF"" SP_MN2 - 348","PA10_MN2 - 123","SA_MN3 - 161","""PDF"" SA_MN3 - 161","PT20_MN2 - 087","ST_MN2 - 190"
"සමණමණ්දඩිකා සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 367","""PDF"" SP_MN2 - 382","PA10_MN2 - 138","SA_MN3 - 179","""PDF"" SA_MN3 - 179","PT20_MN2 - 098","ST_MN2 - 214"
"චූළසකුලුදායි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 377","""PDF"" SP_MN2 - 392","PA10_MN2 - 140","SA_MN3 - 182","""PDF"" SA_MN3 - 182","PT20_MN2 - 100","ST_MN2 - 220"
"වෙඛනස්ස සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 3.පරිබ්බාජක වර්‍ගය","SP_MN2 - 395","""PDF"" SP_MN2 - 410","PA10_MN2 - 144","SA_MN3 - 186","""PDF"" SA_MN3 - 186","PT20_MN2 - 102","ST_MN2 - 224"
"ඝටීකාර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 405","""PDF"" SP_MN2 - 420","PA10_MN2 - 145","SA_MN3 - 188","""PDF"" SA_MN3 - 188","PT20_MN2 - 103","ST_MN2 - 226"
"රට්ඨපාල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 421","""PDF"" SP_MN2 - 436","PA10_MN2 - 150","SA_MN3 - 194","""PDF"" SA_MN3 - 194","PT20_MN2 - 107","ST_MN2 - 234"
"මඛාදේව සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 453","""PDF"" SP_MN2 - 468","PA10_MN2 - 160","SA_MN3 - 207","""PDF"" SA_MN3 - 207","PT20_MN2 - 113","ST_MN2 - 248"
"මධුර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 467","""PDF"" SP_MN2 - 482","PA10_MN2 - 166","SA_MN3 - 216","""PDF"" SA_MN3 - 216","PT20_MN2 - 116","ST_MN2 - 256"
"බෝධිරාජකුමාර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 481","""PDF"" SP_MN2 - 496","PA10_MN2 - 167","SA_MN3 - 217","""PDF"" SA_MN3 - 217","PT20_MN2 - 117","ST_MN2 - 258"
"අඞ්ගුලිමාල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 517","""PDF"" SP_MN2 - 532","PA10_MN2 - 170","SA_MN3 - 221","""PDF"" SA_MN3 - 221","PT20_MN2 - 119","ST_MN2 - 262"
"පියජාතික සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 531","""PDF"" SP_MN2 - 546","PA10_MN2 - 178","SA_MN3 - 231","""PDF"" SA_MN3 - 231","PT20_MN2 - 123","ST_MN2 - 272"
"බාහිතික සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 541","""PDF"" SP_MN2 - 556","PA10_MN2 - 179","SA_MN3 - 232","""PDF"" SA_MN3 - 232","PT20_MN2 - 124","ST_MN2 - 274"
"ධම්මචේතිය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 551","""PDF"" SP_MN2 - 566","PA10_MN2 - 180","SA_MN3 - 233","""PDF"" SA_MN3 - 233","PT20_MN2 - 125","ST_MN2 - 276"
"කණ්ණකත්ඵල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 4.රාජ වර්‍ගය","SP_MN2 - 563","""PDF"" SP_MN2 - 578","PA10_MN2 - 184","SA_MN3 - 238","""PDF"" SA_MN3 - 238","PT20_MN2 - 126","ST_MN2 - 280"
"බ්‍රහ්මායු සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 577","""PDF"" SP_MN2 - 592","PA10_MN2 - 187","SA_MN3 - 243","""PDF"" SA_MN3 - 243","PT20_MN2 - 128","ST_MN2 - 284"
"සේල සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 599","""PDF"" SP_MN2 - 614","PA10_MN2 - 205","SA_MN3 - 265","""PDF"" SA_MN3 - 265","PT20_MN2 - 140","ST_MN2 - 312"
"අස්සලායන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 611","""PDF"" SP_MN2 - 626","PA10_MN2 - 209","SA_MN3 - 270","""PDF"" SA_MN3 - 270","PT20_MN2 - 143","ST_MN2 - 320"
"ඝෝටමුඛ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 629","""PDF"" SP_MN2 - 644","PA10_MN2 - 211","SA_MN3 - 273","""PDF"" SA_MN3 - 273","PT20_MN2 - 145","ST_MN2 - 324"
"චඞ්කී සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 647","""PDF"" SP_MN2 - 662","PA10_MN2 - 212","SA_MN3 - 274","""PDF"" SA_MN3 - 274","PT20_MN2 - 146","ST_MN2 - 326"
"ඒසුකාරී සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 669","""PDF"" SP_MN2 - 684","PA10_MN2 - 219","SA_MN3 - 282","""PDF"" SA_MN3 - 282","PT20_MN2 - 151","ST_MN2 - 338"
"ධනඤ්ජානි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 681","""PDF"" SP_MN2 - 696","PA10_MN2 - 220","SA_MN3 - 284","""PDF"" SA_MN3 - 284","PT20_MN2 - 152","ST_MN2 - 340"
"වාසෙට්ඨ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 701","""PDF"" SP_MN2 - 716","PA10_MN2 - 221","SA_MN3 - 285","""PDF"" SA_MN3 - 285","PT20_MN2 - 152","ST_MN2 - 342"
"සුභ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 713","""PDF"" SP_MN2 - 728","PA10_MN2 - 227","SA_MN3 - 292","""PDF"" SA_MN3 - 292","PT20_MN2 - 158","ST_MN2 - 352"
"සඞ්ගාරව සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 02","මජ්ඣිමපණ්ණාසකය 5.බ්‍රාහ්මණ වර්‍ගය","SP_MN2 - 737","""PDF"" SP_MN2 - 752","PA10_MN2 - 231","SA_MN3 - 297","""PDF"" SA_MN3 - 297","PT20_MN2 - 160","ST_MN2 - 358"
"දේවදහ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 003","""PDF"" SP_MN3 - 017","PA11_MN3 - 001","SA_MN4 - 001",'-,,"ST_MN3 - 003"
"පඤ්චත්තය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 031","""PDF"" SP_MN3 - 045","PA11_MN3 - 007","SA_MN4 - 011",'-,,"ST_MN3 - 015"
"කින්ති සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 045","""PDF"" SP_MN3 - 059","PA11_MN3 - 014","SA_MN4 - 017",'-,,"ST_MN3 - 047"
"සාමගාම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 053","""PDF"" SP_MN3 - 067","PA11_MN3 - 016","SA_MN4 - 019",'-,,"ST_MN3 - 051"
"සුනක්ඛත්ත සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 067","""PDF"" SP_MN3 - 081","PA11_MN3 - 025","SA_MN4 - 029",'-,,"ST_MN3 - 061"
"ආනෙඤ්ජසප්පාය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 083","""PDF"" SP_MN3 - 097","PA11_MN3 - 028","SA_MN4 - 032",'-,,"ST_MN3 - 067"
"ගණකමොග්ගල්ලාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 091","""PDF"" SP_MN3 - 105","PA11_MN3 - 034","SA_MN4 - 039",'-,,"ST_MN3 - 081"
"ගෝපකමොග්ගල්ලාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 101","""PDF"" SP_MN3 - 115","PA11_MN3 - 035","SA_MN4 - 040",'-,,"ST_MN3 - 083"
"මහාපුණ්ණම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 117","""PDF"" SP_MN3 - 131","PA11_MN3 - 037","SA_MN4 - 042",'-,,"ST_MN3 - 087"
"චූළපුණ්ණම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 1.දේවදහ වර්‍ගය","SP_MN3 - 127","""PDF"" SP_MN3 - 141","PA11_MN3 - 040","SA_MN4 - 045",'-,,"ST_MN3 - 094"
"අනුපද සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 135","""PDF"" SP_MN3 - 149","PA11_MN3 - 041","SA_MN4 - 047",'-,,"ST_MN3 - 099"
"ඡබ්බිසෝධන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 143","""PDF"" SP_MN3 - 157","PA11_MN3 - 046","SA_MN4 - 053",'-,,"ST_MN3 - 119"
"සප්පුරිස සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 155","""PDF"" SP_MN3 - 169","PA11_MN3 - 050","SA_MN4 - 058",'-,,"ST_MN3 - 127"
"සේවිතබ්බාසේවිතබ්බ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 167","""PDF"" SP_MN3 - 181","PA11_MN3 - 051","SA_MN4 - 059",'-,,"ST_MN3 - 129"
"බහුධාතුක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 195","""PDF"" SP_MN3 - 209","PA11_MN3 - 052","SA_MN4 - 060",'-,,"ST_MN3 - 131"
"ඉසිගිලි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 207","""PDF"" SP_MN3 - 221","PA11_MN3 - 067","SA_MN4 - 077",'-,,"ST_MN3 - 153"
"මහාචත්තාරීසක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 213","""PDF"" SP_MN3 - 227","PA11_MN3 - 069","SA_MN4 - 079",'-,,"ST_MN3 - 157"
"ආනාපානසති සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 225","""PDF"" SP_MN3 - 239","PA11_MN3 - 072","SA_MN4 - 084",'-,,"ST_MN3 - 167"
"කායගතාසති සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 239","""PDF"" SP_MN3 - 253","PA11_MN3 - 076","SA_MN4 - 089",'-,,"ST_MN3 - 173"
"සංඛාරුප්පත්ති සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 03","උපරිපණ්ණාසකය 2.අනුපද වර්‍ගය","SP_MN3 - 257","""PDF"" SP_MN3 - 271","PA11_MN3 - 077","SA_MN4 - 090",'-,,"ST_MN3 - 177"
